id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
563,CEACAM1_CEACAM5,137,309
564,SELE_CEACAM1,138,137
565,NFASC_CNTN1_CNTNAP1,139,403
566,CNTN2_CNTN2_CNTNAP2,140,404
567,CNTN2_L1CAM,140,155
568,CNTN2_CNTN2,140,140
569,CNTN1_NRCAM,141,312
570,CSPG4_ITGA2_ITGB1,142,399
571,DSC2_DSG2,143,313
572,EFNA1_EPHA2,144,314
573,EFNA1_EPHA3,144,315
574,EFNA1_EPHA4,144,316
575,EFNA1_EPHA7,144,317
576,EFNA3_EPHA2,145,314
577,EFNA3_EPHA3,145,315
578,EFNA3_EPHA4,145,316
579,EFNA3_EPHA7,145,317
580,EFNA4_EPHA2,146,314
581,EFNA4_EPHA3,146,315
582,EFNA4_EPHA4,146,316
583,EFNA4_EPHA7,146,317
584,EFNA5_EPHA2,147,314
585,EFNA5_EPHA3,147,315
586,EFNA5_EPHA4,147,316
587,EFNA5_EPHA7,147,317
588,EFNA5_EPHB2,147,318
589,EFNB1_EPHA4,148,316
590,EFNB1_EPHB2,148,318
591,EFNB1_EPHB3,148,319
592,EFNB1_EPHB4,148,320
593,EFNB2_EPHA4,149,316
594,EFNB2_EPHB2,149,318
595,EFNB2_EPHB3,149,319
596,EFNB2_EPHB4,149,320
597,EFNB3_EPHA4,150,316
598,EFNB3_EPHB2,150,318
599,EFNB3_EPHB3,150,319
600,EFNB3_EPHB4,150,320
601,EFNB3_EPHB6,150,321
602,ESAM_ESAM,151,151
603,JAM2_ITGA3_ITGB1,152,400
604,JAM2_ITGAV_ITGB1,152,382
605,JAM2_JAM3,152,154
606,F11R_F11R,153,153
607,F11R_JAM2,153,152
608,F11R_JAM3,153,154
609,JAM2_F11R,152,153
610,JAM2_JAM2,152,152
611,JAM3_F11R,154,153
612,JAM3_JAM2,154,152
613,JAM3_JAM3,154,154
614,L1CAM_L1CAM,155,155
615,HLA-DPA1_CD4,156,322
616,HLA-DPB1_CD4,157,322
617,HLA-DQA1_CD4,158,322
618,HLA-DQB1_CD4,159,322
619,HLA-DRA_CD4,160,322
620,HLA-DRB1_CD4,161,322
621,MPZ_MPZL1,162,163
622,MPZ_MPZ,162,162
623,MPZL1_MPZL1,163,163
624,NCAM1_FGFR1,164,227
625,NCAM1_NCAM1,164,164
626,NCAM1_NCAM2,164,165
627,NCAM1_L1CAM,164,155
628,NCAM2_L1CAM,165,155
629,NECTIN1_CADM3,166,130
630,NECTIN3_NECTIN1,167,166
631,NECTIN3_NECTIN2,167,323
632,NECTIN3_PVR,167,324
633,NECTIN1_NECTIN3,166,167
634,NEGR1_NEGR1,168,168
635,LRRC4C_NTNG1,169,325
636,LRRC4B_PTPRF,170,326
637,DLK1_NOTCH1,171,327
638,DLK1_NOTCH2,171,328
639,DLK1_NOTCH3,171,329
640,DLK1_NOTCH4,171,330
641,DLL1_NOTCH1,172,327
642,DLL1_NOTCH3,172,329
643,DLL1_NOTCH4,172,330
644,DLL3_NOTCH1,173,327
645,DLL3_NOTCH2,173,328
646,DLL3_NOTCH3,173,329
647,DLL3_NOTCH4,173,330
648,DLL4_NOTCH1,174,327
649,DLL4_NOTCH2,174,328
650,DLL4_NOTCH3,174,329
651,DLL4_NOTCH4,174,330
652,JAG1_NOTCH1,175,327
653,JAG1_NOTCH2,175,328
654,JAG1_NOTCH3,175,329
655,JAG1_NOTCH4,175,330
656,JAG2_NOTCH1,176,327
657,JAG2_NOTCH2,176,328
658,JAG2_NOTCH3,176,329
659,JAG2_NOTCH4,176,330
660,DLL1_NOTCH2,172,328
661,NRXN1_NLGN1,177,331
662,NRXN1_NLGN2,177,332
663,NRXN1_NLGN3,177,333
664,NRXN2_NLGN1,178,331
665,NRXN2_NLGN2,178,332
666,NRXN2_NLGN3,178,333
667,NRXN3_NLGN1,179,331
668,NRXN3_NLGN2,179,332
669,NRXN3_NLGN3,179,333
670,OCLN_OCLN,180,180
671,PECAM1_PECAM1,181,181
672,PTPRM_PTPRM,182,182
673,SELE_CD44,138,242
674,SELE_GLG1,138,334
675,SEMA4A_NRP1_PLXNA1,183,390
676,SEMA4A_NRP1_PLXNA2,183,391
677,SEMA4A_NRP1_PLXNA3,183,392
678,SEMA4A_NRP1_PLXNA4,183,393
679,SEMA4A_PLXNB1,183,335
680,SEMA4A_PLXNB2,183,336
681,SEMA4D_PLXNB1,184,335
682,SEMA4D_PLXNB2,184,336
683,SEMA4C_PLXNB2,185,336
